collection_week,Country,total_confirmed_cases,total_recovered,total_deaths,hospital_pk,daily_new_cases,case_fatality_rate,recovery_rate,active_cases,surge_flag
2020-01-22,US,1,0,0,USA_NATIONAL,,0.0,0.0,1,0
2020-01-23,US,1,0,0,USA_NATIONAL,0.0,0.0,0.0,1,0
2020-01-24,US,2,0,0,USA_NATIONAL,1.0,0.0,0.0,2,1
2020-01-25,US,2,0,0,USA_NATIONAL,0.0,0.0,0.0,2,0
2020-01-26,US,5,0,0,USA_NATIONAL,3.0,0.0,0.0,5,1
2020-01-27,US,5,0,0,USA_NATIONAL,0.0,0.0,0.0,5,0
2020-01-28,US,5,0,0,USA_NATIONAL,0.0,0.0,0.0,5,0
2020-01-29,US,6,0,0,USA_NATIONAL,1.0,0.0,0.0,6,0
2020-01-30,US,6,0,0,USA_NATIONAL,0.0,0.0,0.0,6,0
2020-01-31,US,8,0,0,USA_NATIONAL,2.0,0.0,0.0,8,1
2020-02-01,US,8,0,0,USA_NATIONAL,0.0,0.0,0.0,8,0
2020-02-02,US,8,0,0,USA_NATIONAL,0.0,0.0,0.0,8,0
2020-02-03,US,11,0,0,USA_NATIONAL,3.0,0.0,0.0,11,1
2020-02-04,US,11,0,0,USA_NATIONAL,0.0,0.0,0.0,11,0
2020-02-05,US,11,0,0,USA_NATIONAL,0.0,0.0,0.0,11,0
2020-02-06,US,12,0,0,USA_NATIONAL,1.0,0.0,0.0,12,0
2020-02-07,US,12,0,0,USA_NATIONAL,0.0,0.0,0.0,12,0
2020-02-08,US,12,0,0,USA_NATIONAL,0.0,0.0,0.0,12,0
2020-02-09,US,12,3,0,USA_NATIONAL,0.0,0.0,0.25,9,0
2020-02-10,US,12,3,0,USA_NATIONAL,0.0,0.0,0.25,9,0
2020-02-11,US,13,3,0,USA_NATIONAL,1.0,0.0,0.2308,10,1
2020-02-12,US,13,3,0,USA_NATIONAL,0.0,0.0,0.2308,10,0
2020-02-13,US,14,3,0,USA_NATIONAL,1.0,0.0,0.2143,11,1
2020-02-14,US,14,3,0,USA_NATIONAL,0.0,0.0,0.2143,11,0
2020-02-15,US,14,3,0,USA_NATIONAL,0.0,0.0,0.2143,11,0
2020-02-16,US,14,3,0,USA_NATIONAL,0.0,0.0,0.2143,11,0
2020-02-17,US,14,3,0,USA_NATIONAL,0.0,0.0,0.2143,11,0
2020-02-18,US,14,3,0,USA_NATIONAL,0.0,0.0,0.2143,11,0
2020-02-19,US,14,3,0,USA_NATIONAL,0.0,0.0,0.2143,11,0
2020-02-20,US,14,3,0,USA_NATIONAL,0.0,0.0,0.2143,11,0
2020-02-21,US,16,5,0,USA_NATIONAL,2.0,0.0,0.3125,11,1
2020-02-22,US,16,5,0,USA_NATIONAL,0.0,0.0,0.3125,11,0
2020-02-23,US,16,5,0,USA_NATIONAL,0.0,0.0,0.3125,11,0
2020-02-24,US,16,5,0,USA_NATIONAL,0.0,0.0,0.3125,11,0
2020-02-25,US,16,6,0,USA_NATIONAL,0.0,0.0,0.375,10,0
2020-02-26,US,16,6,0,USA_NATIONAL,0.0,0.0,0.375,10,0
2020-02-27,US,17,6,0,USA_NATIONAL,1.0,0.0,0.3529,11,1
2020-02-28,US,17,7,0,USA_NATIONAL,0.0,0.0,0.4118,10,0
2020-02-29,US,25,7,1,USA_NATIONAL,8.0,0.04,0.28,17,1
2020-03-01,US,32,7,1,USA_NATIONAL,7.0,0.0312,0.2188,24,1
2020-03-02,US,55,7,6,USA_NATIONAL,23.0,0.1091,0.1273,42,1
2020-03-03,US,74,7,7,USA_NATIONAL,19.0,0.0946,0.0946,60,1
2020-03-04,US,107,7,11,USA_NATIONAL,33.0,0.1028,0.0654,89,1
2020-03-05,US,184,7,12,USA_NATIONAL,77.0,0.0652,0.038,165,1
2020-03-06,US,237,7,14,USA_NATIONAL,53.0,0.0591,0.0295,216,1
2020-03-07,US,403,7,17,USA_NATIONAL,166.0,0.0422,0.0174,379,1
2020-03-08,US,519,7,21,USA_NATIONAL,116.0,0.0405,0.0135,491,1
2020-03-09,US,594,7,22,USA_NATIONAL,75.0,0.037,0.0118,565,0
2020-03-10,US,782,8,28,USA_NATIONAL,188.0,0.0358,0.0102,746,1
2020-03-11,US,1147,8,33,USA_NATIONAL,365.0,0.0288,0.007,1106,1
2020-03-12,US,1586,12,43,USA_NATIONAL,439.0,0.0271,0.0076,1531,1
2020-03-13,US,2219,12,51,USA_NATIONAL,633.0,0.023,0.0054,2156,1
2020-03-14,US,2978,12,58,USA_NATIONAL,759.0,0.0195,0.004,2908,1
2020-03-15,US,3212,12,70,USA_NATIONAL,234.0,0.0218,0.0037,3130,0
2020-03-16,US,4679,17,97,USA_NATIONAL,1467.0,0.0207,0.0036,4565,1
2020-03-17,US,6512,17,134,USA_NATIONAL,1833.0,0.0206,0.0026,6361,1
2020-03-18,US,9169,105,194,USA_NATIONAL,2657.0,0.0212,0.0115,8870,1
2020-03-19,US,13663,121,266,USA_NATIONAL,4494.0,0.0195,0.0089,13276,1
2020-03-20,US,20030,147,372,USA_NATIONAL,6367.0,0.0186,0.0073,19511,1
2020-03-21,US,26025,176,475,USA_NATIONAL,5995.0,0.0183,0.0068,25374,1
2020-03-22,US,34944,178,603,USA_NATIONAL,8919.0,0.0173,0.0051,34163,1
2020-03-23,US,46096,178,790,USA_NATIONAL,11152.0,0.0171,0.0039,45128,1
2020-03-24,US,56714,348,1033,USA_NATIONAL,10618.0,0.0182,0.0061,55333,0
2020-03-25,US,68841,361,1366,USA_NATIONAL,12127.0,0.0198,0.0052,67114,0
2020-03-26,US,86662,681,1783,USA_NATIONAL,17821.0,0.0206,0.0079,84198,1
2020-03-27,US,105253,869,2305,USA_NATIONAL,18591.0,0.0219,0.0083,102079,1
2020-03-28,US,127417,1072,3018,USA_NATIONAL,22164.0,0.0237,0.0084,123327,1
2020-03-29,US,143544,2665,3573,USA_NATIONAL,16127.0,0.0249,0.0186,137306,0
2020-03-30,US,165698,5644,4280,USA_NATIONAL,22154.0,0.0258,0.0341,155774,0
2020-03-31,US,192079,7024,5359,USA_NATIONAL,26381.0,0.0279,0.0366,179696,0
2020-04-01,US,223254,8474,6635,USA_NATIONAL,31175.0,0.0297,0.038,208145,0
2020-04-02,US,255530,9001,8142,USA_NATIONAL,32276.0,0.0319,0.0352,238387,0
2020-04-03,US,287931,9707,9562,USA_NATIONAL,32401.0,0.0332,0.0337,268662,0
2020-04-04,US,319776,14652,11165,USA_NATIONAL,31845.0,0.0349,0.0458,293959,0
2020-04-05,US,349016,17448,12781,USA_NATIONAL,29240.0,0.0366,0.05,318787,0
2020-04-06,US,380798,19581,14523,USA_NATIONAL,31782.0,0.0381,0.0514,346694,0
2020-04-07,US,410834,21763,17099,USA_NATIONAL,30036.0,0.0416,0.053,371972,0
2020-04-08,US,441897,23559,19249,USA_NATIONAL,31063.0,0.0436,0.0533,399089,0
2020-04-09,US,477507,25410,21463,USA_NATIONAL,35610.0,0.0449,0.0532,430634,0
2020-04-10,US,511790,28790,23649,USA_NATIONAL,34283.0,0.0462,0.0563,459351,0
2020-04-11,US,540714,31270,25785,USA_NATIONAL,28924.0,0.0477,0.0578,483659,0
2020-04-12,US,567022,32988,27674,USA_NATIONAL,26308.0,0.0488,0.0582,506360,0
2020-04-13,US,594165,43482,29657,USA_NATIONAL,27143.0,0.0499,0.0732,521026,0
2020-04-14,US,622493,47763,32132,USA_NATIONAL,28328.0,0.0516,0.0767,542598,0
